"","x"
"1","AC"
"2","AD"
"3","AE"
"4","AF"
"5","AG"
"6","AI"
"7","AL"
"8","AM"
"9","AO"
"10","AQ"
"11","AR"
"12","AS"
"13","AT"
"14","AU"
"15","AW"
"16","AZ"
"17","BA"
"18","BB"
"19","BD"
"20","BE"
"21","BF"
"22","BG"
"23","BH"
"24","BI"
"25","BJ"
"26","BL"
"27","BM"
"28","BN"
"29","BO"
"30","BQ"
"31","BR"
"32","BS"
"33","BT"
"34","BV"
"35","BW"
"36","BY"
"37","BZ"
"38","CA"
"39","CC"
"40","CD"
"41","CF"
"42","CG"
"43","CH"
"44","CI"
"45","CK"
"46","CL"
"47","CM"
"48","CN"
"49","CO"
"50","CP"
"51","CR"
"52","CS"
"53","CU"
"54","CV"
"55","CW"
"56","CX"
"57","CY"
"58","CZ"
"59","DE"
"60","DJ"
"61","DK"
"62","DM"
"63","DO"
"64","DZ"
"65","EC"
"66","EE"
"67","EG"
"68","EH"
"69","ER"
"70","ES"
"71","ET"
"72","FI"
"73","FJ"
"74","FK"
"75","FM"
"76","FO"
"77","FR"
"78","GA"
"79","GB"
"80","GD"
"81","GE"
"82","GF"
"83","GG"
"84","GH"
"85","GI"
"86","GL"
"87","GM"
"88","GN"
"89","GP"
"90","GQ"
"91","GR"
"92","GS"
"93","GT"
"94","GU"
"95","GW"
"96","GY"
"97","HK"
"98","HM"
"99","HN"
"100","HR"
"101","HT"
"102","HU"
"103","ID"
"104","IE"
"105","IL"
"106","IM"
"107","IN"
"108","IO"
"109","IQ"
"110","IR"
"111","IS"
"112","IT"
"113","JE"
"114","JM"
"115","JO"
"116","JP"
"117","KE"
"118","KG"
"119","KH"
"120","KI"
"121","KM"
"122","KN"
"123","KP"
"124","KR"
"125","KW"
"126","KY"
"127","KZ"
"128","LA"
"129","LB"
"130","LC"
"131","LI"
"132","LK"
"133","LR"
"134","LS"
"135","LT"
"136","LU"
"137","LV"
"138","LY"
"139","MA"
"140","MC"
"141","MD"
"142","ME"
"143","MF"
"144","MG"
"145","MH"
"146","MK"
"147","ML"
"148","MM"
"149","MN"
"150","MO"
"151","MP"
"152","MQ"
"153","MR"
"154","MS"
"155","MT"
"156","MU"
"157","MV"
"158","MW"
"159","MX"
"160","MY"
"161","MZ"
"162",NA
"163","NC"
"164","NE"
"165","NF"
"166","NG"
"167","NI"
"168","NL"
"169","NO"
"170","NP"
"171","NR"
"172","NU"
"173","NZ"
"174","OM"
"175","PA"
"176","PE"
"177","PF"
"178","PG"
"179","PH"
"180","PK"
"181","PL"
"182","PM"
"183","PN"
"184","PR"
"185","PS"
"186","PT"
"187","PW"
"188","PY"
"189","QA"
"190","RE"
"191","RO"
"192","RS"
"193","RU"
"194","RW"
"195","SA"
"196","SB"
"197","SC"
"198","SD"
"199","SE"
"200","SG"
"201","SH"
"202","SI"
"203","SJ"
"204","SK"
"205","SL"
"206","SM"
"207","SN"
"208","SO"
"209","SR"
"210","SS"
"211","ST"
"212","SV"
"213","SX"
"214","SY"
"215","SZ"
"216","TC"
"217","TD"
"218","TF"
"219","TG"
"220","TH"
"221","TJ"
"222","TK"
"223","TL"
"224","TM"
"225","TN"
"226","TO"
"227","TR"
"228","TT"
"229","TV"
"230","TW"
"231","TZ"
"232","UA"
"233","UG"
"234","UM"
"235","US"
"236","UY"
"237","UZ"
"238","VA"
"239","VC"
"240","VE"
"241","VG"
"242","VI"
"243","VN"
"244","VU"
"245","WF"
"246","WS"
"247","XK"
"248","XX"
"249","YE"
"250","YT"
"251","ZA"
"252","ZM"
"253","ZW"
"254","AC-"
"255","AD-"
"256","AD-02"
"257","AD-03"
"258","AD-04"
"259","AD-05"
"260","AD-06"
"261","AD-07"
"262","AD-08"
"263","AE-"
"264","AE-AJ"
"265","AE-AZ"
"266","AE-DU"
"267","AE-FU"
"268","AE-RK"
"269","AE-SH"
"270","AE-UQ"
"271","AF-"
"272","AF-BAL"
"273","AF-BAM"
"274","AF-BDG"
"275","AF-BDS"
"276","AF-BGL"
"277","AF-DAY"
"278","AF-FRA"
"279","AF-FYB"
"280","AF-GHA"
"281","AF-GHO"
"282","AF-HEL"
"283","AF-HER"
"284","AF-JOW"
"285","AF-KAB"
"286","AF-KAN"
"287","AF-KAP"
"288","AF-KDZ"
"289","AF-KHO"
"290","AF-KNR"
"291","AF-LAG"
"292","AF-LOW"
"293","AF-NAN"
"294","AF-NIM"
"295","AF-NUR"
"296","AF-ORU"
"297","AF-PAN"
"298","AF-PAR"
"299","AF-PIA"
"300","AF-PKA"
"301","AF-SAM"
"302","AF-SAR"
"303","AF-TAK"
"304","AF-WAR"
"305","AF-ZAB"
"306","AG-"
"307","AG-03"
"308","AG-04"
"309","AG-05"
"310","AG-06"
"311","AG-07"
"312","AG-08"
"313","AG-10"
"314","AG-11"
"315","AI-"
"316","AL-"
"317","AL-01"
"318","AL-02"
"319","AL-03"
"320","AL-04"
"321","AL-05"
"322","AL-06"
"323","AL-07"
"324","AL-08"
"325","AL-09"
"326","AL-10"
"327","AL-11"
"328","AL-12"
"329","AM-"
"330","AM-AG"
"331","AM-AR"
"332","AM-AV"
"333","AM-ER"
"334","AM-GR"
"335","AM-KT"
"336","AM-LO"
"337","AM-SH"
"338","AM-SU"
"339","AM-TV"
"340","AM-VD"
"341","AO-"
"342","AO-BGO"
"343","AO-BGU"
"344","AO-BIE"
"345","AO-CAB"
"346","AO-CCU"
"347","AO-CNN"
"348","AO-CNO"
"349","AO-CUS"
"350","AO-HUA"
"351","AO-HUI"
"352","AO-LNO"
"353","AO-LSU"
"354","AO-LUA"
"355","AO-MAL"
"356","AO-MOX"
"357","AO-NAM"
"358","AO-UIG"
"359","AO-ZAI"
"360","AQ-"
"361","AR-"
"362","AR-A"
