SCIENTIFIC_NAME	COMMON_NAME	SPECIES_CODE	CATEGORY	TAXON_ORDER	COM_NAME_CODES	SCI_NAME_CODES	BANDING_CODES	ORDER	FAMILY_COM_NAME	FAMILY_SCI_NAME	REPORT_AS	EXTINCT	EXTINCT_YEAR	FAMILY_CODE
Struthio camelus	Common Ostrich	ostric2	species	2	COOS	STCA	NA	Struthioniformes	Ostriches	Struthionidae	NA	NA	NA	struth1
Struthio molybdophanes	Somali Ostrich	ostric3	species	7	SOOS	STMO	NA	Struthioniformes	Ostriches	Struthionidae	NA	NA	NA	struth1
Struthio camelus/molybdophanes	Common/Somali Ostrich	y00934	slash	8	SOOS COOS	STMO STCA	NA	Struthioniformes	Ostriches	Struthionidae	NA	NA	NA	struth1
Rhea americana	Greater Rhea	grerhe1	species	10	GRRH	RHAM	NA	Rheiformes	Rheas	Rheidae	NA	NA	NA	rheida1
Rhea pennata	Lesser Rhea	lesrhe2	species	16	LERH	RHPE	NA	Rheiformes	Rheas	Rheidae	NA	NA	NA	rheida1
Rhea pennata tarapacensis/garleppi	Lesser Rhea (Puna)	lesrhe4	issf	17	LERH	RHPE	NA	Rheiformes	Rheas	Rheidae	lesrhe2	NA	NA	rheida1
Rhea pennata pennata	Lesser Rhea (Darwin's)	lesrhe3	issf	20	LERH	RHPE	NA	Rheiformes	Rheas	Rheidae	lesrhe2	NA	NA	rheida1
Nothocercus julius	Tawny-breasted Tinamou	tabtin1	species	22	TBTI	NOJU	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Nothocercus bonapartei	Highland Tinamou	higtin1	species	23	NA	NOBO	HITI	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Nothocercus bonapartei [bonapartei Group]	Highland Tinamou (South American)	higtin2	issf	24	HITI	NOBO	NA	Tinamiformes	Tinamous	Tinamidae	higtin1	NA	NA	tinami1
Nothocercus bonapartei frantzii	Highland Tinamou (Costa Rican)	higtin3	issf	29	HITI	NOBO	NA	Tinamiformes	Tinamous	Tinamidae	higtin1	NA	NA	tinami1
Nothocercus nigrocapillus	Hooded Tinamou	hootin1	species	30	HOTI	NONI	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Tinamus tao	Gray Tinamou	grytin1	species	33	GRTI	TITA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Tinamus solitarius	Solitary Tinamou	soltin1	species	38	SOTI	TISO	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Tinamus osgoodi	Black Tinamou	blatin1	species	39	BLTI	TIOS	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Tinamus major	Great Tinamou	gretin1	species	42	NA	TIMA	GRTI	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Tinamus guttatus	White-throated Tinamou	whttin1	species	55	WTTI	TIGU	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Tinamus sp.	Tinamus sp.	tinamu1	spuh	56	NA	NA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus cinereus	Cinereous Tinamou	cintin1	species	57	CITI	CRCI	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus berlepschi	Berlepsch's Tinamou	bertin1	species	58	BETI	CRBE	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus soui	Little Tinamou	littin1	species	59	NA	CRSO	LITI	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus ptaritepui	Tepui Tinamou	teptin1	species	74	TETI	CRPT	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus obsoletus	Brown Tinamou	brotin1	species	75	BRTI	CROB	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus obsoletus castaneus	Brown Tinamou (castaneus)	brntin1	issf	76	BRTI	CROB	NA	Tinamiformes	Tinamous	Tinamidae	brotin1	NA	NA	tinami1
Crypturellus obsoletus [obsoletus Group]	Brown Tinamou (Brown)	brntin2	issf	77	BRTI	CROB	NA	Tinamiformes	Tinamous	Tinamidae	brotin1	NA	NA	tinami1
Crypturellus undulatus	Undulated Tinamou	undtin1	species	86	UNTI	CRUN	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus transfasciatus	Pale-browed Tinamou	pabtin1	species	93	PBTI	CRTR	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus strigulosus	Brazilian Tinamou	bratin1	species	94	BRTI	CRST	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus duidae	Gray-legged Tinamou	gyltin1	species	95	GLTI	CRDU	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus erythropus	Red-legged Tinamou	reltin1	species	96	RLTI	CRER	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus noctivagus	Yellow-legged Tinamou	yeltin1	species	104	YLTI	CRNO	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus noctivagus zabele	Yellow-legged Tinamou (zabele)	yeltin2	issf	105	YLTI	CRNO	NA	Tinamiformes	Tinamous	Tinamidae	yeltin1	NA	NA	tinami1
Crypturellus noctivagus noctivagus	Yellow-legged Tinamou (noctivagus)	yeltin3	issf	106	YLTI	CRNO	NA	Tinamiformes	Tinamous	Tinamidae	yeltin1	NA	NA	tinami1
Crypturellus atrocapillus	Black-capped Tinamou	blctin1	species	107	BCTI	CRAT	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus boucardi	Slaty-breasted Tinamou	slbtin1	species	110	NA	CRBO	SBTI	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus kerriae	Choco Tinamou	chotin1	species	113	NA	CRKE	CHTI	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus variegatus	Variegated Tinamou	vartin1	species	114	VATI	CRVA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus cinnamomeus	Thicket Tinamou	thitin1	species	115	ETTI	CRCI	THTI	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus cinnamomeus occidentalis	Thicket Tinamou (occidentalis)	thitin2	issf	116	ETTI THTI	CRCI	NA	Tinamiformes	Tinamous	Tinamidae	thitin1	NA	NA	tinami1
Crypturellus cinnamomeus [cinnamomeus Group]	Thicket Tinamou (cinnamomeus Group)	thitin3	issf	117	ETTI THTI	CRCI	NA	Tinamiformes	Tinamous	Tinamidae	thitin1	NA	NA	tinami1
Crypturellus brevirostris	Rusty Tinamou	rustin1	species	126	RUTI	CRBR	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus bartletti	Bartlett's Tinamou	bartin2	species	127	BATI	CRBA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus parvirostris	Small-billed Tinamou	smbtin1	species	128	SBTI	CRPA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus casiquiare	Barred Tinamou	bartin1	species	129	BATI	CRCA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus tataupa	Tataupa Tinamou	tattin1	species	130	TATI	CRTA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Crypturellus sp.	Crypturellus sp.	cryptu1	spuh	135	NA	NA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Rhynchotus rufescens	Red-winged Tinamou	rewtin1	species	136	RWTI	RHRU	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Rhynchotus maculicollis	Huayco Tinamou	huatin1	species	140	HUTI	RHMA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Nothoprocta taczanowskii	Taczanowski's Tinamou	tactin1	species	141	TATI	NOTA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Nothoprocta ornata	Ornate Tinamou	orntin1	species	142	ORTI	NOOR	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Nothoprocta perdicaria	Chilean Tinamou	chitin1	species	146	CHTI	NOPE	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Nothoprocta cinerascens	Brushland Tinamou	brutin1	species	149	BRTI	NOCI	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Nothoprocta pentlandii	Andean Tinamou	andtin1	species	152	ANTI	NOPE	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Nothoprocta curvirostris	Curve-billed Tinamou	cubtin1	species	161	CBTI	NOCU	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Nothoprocta sp.	Nothoprocta sp.	nothop1	spuh	164	NA	NA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Nothura boraquira	White-bellied Nothura	whbnot1	species	165	WBNO	NOBO	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Nothura minor	Lesser Nothura	lesnot1	species	166	LENO	NOMI	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Nothura darwinii	Darwin's Nothura	darnot1	species	167	DANO	NODA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Nothura maculosa	Spotted Nothura	sponot1	species	173	SPNO	NOMA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Nothura boraquira/maculosa	White-bellied/Spotted Nothura	y01225	slash	183	WBNO SPNO	NOMA NOBO	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Nothura minor/maculosa	Lesser/Spotted Nothura	y01226	slash	184	SPNO LENO	NOMI NOMA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Taoniscus nanus	Dwarf Tinamou	dwatin1	species	185	DWTI	TANA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Eudromia elegans	Elegant Crested-Tinamou	elctin1	species	186	ELCT ECTI	EUEL	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Eudromia formosa	Quebracho Crested-Tinamou	quctin1	species	197	QCTI QUCT	EUFO	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Tinamotis pentlandii	Puna Tinamou	puntin1	species	200	PUTI	TIPE	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Tinamotis ingoufi	Patagonian Tinamou	pattin1	species	201	PATI	TIIN	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Tinamidae sp.	tinamou sp.	tinamo1	spuh	202	NA	NA	NA	Tinamiformes	Tinamous	Tinamidae	NA	NA	NA	tinami1
Casuarius casuarius	Southern Cassowary	soucas1	species	204	SOCA	CACA	NA	Casuariiformes	Cassowaries and Emu	Casuariidae	NA	NA	NA	casuar1
Casuarius bennetti	Dwarf Cassowary	dwacas1	species	205	DWCA	CABE	NA	Casuariiformes	Cassowaries and Emu	Casuariidae	NA	NA	NA	casuar1
Casuarius unappendiculatus	Northern Cassowary	norcas1	species	206	NOCA	CAUN	NA	Casuariiformes	Cassowaries and Emu	Casuariidae	NA	NA	NA	casuar1
Dromaius novaehollandiae	Emu	emu1	species	207	EMU COEM	DRNO	NA	Casuariiformes	Cassowaries and Emu	Casuariidae	NA	NA	NA	casuar1
Apteryx australis	Southern Brown Kiwi	sobkiw1	species	213	SBKI	APAU	NA	Apterygiformes	Kiwis	Apterygidae	NA	NA	NA	aptery1
Apteryx australis australis	Southern Brown Kiwi (South I.)	sobkiw2	issf	214	SBKI	APAU	NA	Apterygiformes	Kiwis	Apterygidae	sobkiw1	NA	NA	aptery1
Apteryx australis lawryi	Southern Brown Kiwi (Stewart I.)	sobkiw3	issf	215	SBKI	APAU	NA	Apterygiformes	Kiwis	Apterygidae	sobkiw1	NA	NA	aptery1
Apteryx rowi	Okarito Brown Kiwi	okbkiw1	species	216	OBKI OKKI	APRO	NA	Apterygiformes	Kiwis	Apterygidae	NA	NA	NA	aptery1
Apteryx mantelli	North Island Brown Kiwi	nibkiw1	species	217	NIBK	APMA	NA	Apterygiformes	Kiwis	Apterygidae	NA	NA	NA	aptery1
Apteryx owenii	Little Spotted Kiwi	liskiw1	species	218	LSKI	APOW	NA	Apterygiformes	Kiwis	Apterygidae	NA	NA	NA	aptery1
Apteryx rowi x owenii	Okarito Brown x Little Spotted Kiwi (hybrid)	x01059	hybrid	219	OBKI LSKI OKKI	APOW APRO	NA	Apterygiformes	Kiwis	Apterygidae	NA	NA	NA	aptery1
